% Model:              tumor_ablationfinaltodo.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 29 2026, 00:49
% Table:              Probe Table 1 - 
% Tiempo (min)                                    Fraction of damage (1), Punto: (-4, 0, 65)        Fraction of damage (1), Punto: (-12, 0, 65)       Fraction of damage (1), Punto: (-20, 0, 65)       Temperature (degC), Punto: (-0.2667, 15.5, 60)
0                                                 3.527873971370814E-7                              3.5278623083431846E-7                             3.5278539029496046E-7                             37.01029314669785
0.01                                              1.780925594614677E-4                              1.7771408533042126E-4                             1.7739496587051501E-4                             43.26711522370499
0.02                                              3.5717993401353416E-4                             3.5605666547465416E-4                             3.5507605937101436E-4                             48.786125535656936
0.04                                              7.185287071573913E-4                              7.150653929195393E-4                              7.119228531228255E-4                              56.41706201471209
0.08                                              0.0014680227527338165                             0.001452523959036122                              0.0014383007320500141                             64.11663129699741
0.11999999999999998                               0.0022405466665024864                             0.0022065840871266333                             0.0021755989761869563                             68.39929491081773
0.2                                               0.0038836546226672726                             0.003786690367706593                              0.0036968942462492684                             74.17219434347987
0.28                                              0.005633449842387149                              0.005447474333933077                              0.005269678620511328                              78.27310093613573
0.44                                              0.009613949827291347                              0.009161193062620704                              0.008662419790332795                              83.63867460304544
0.6                                               0.014143203415047989                              0.013355072013813446                              0.012350755523598642                              87.15040406592681
0.92                                              0.025681575192259852                              0.024110735432649803                              0.02110246337086081                               91.57067288571079
1.24                                              0.040032915231994565                              0.03775278205571032                               0.03138903779546357                               94.35620935696039
1.8800000000000001                                0.07990455798417846                               0.07702362264448877                               0.05747069888652517                               97.17853862863683
2.5200000000000005                                0.13115584106004152                               0.12849625950860752                               0.08849330640499899                               99.12804455773431
3.5200000000000005                                0.2318795368652067                                0.22997419568979524                               0.1449220735473722                                100.91081047031429
4.5200000000000005                                0.34184921480300007                               0.33957007976696474                               0.20491736632561755                               101.86775976425508
5.5200000000000005                                0.4497553078221834                                0.44577114985335653                               0.26506622403275354                               102.37567662017034
6.5200000000000005                                0.5479674546848743                                0.5416840899245159                                0.3232507336696745                                102.65580481346024
7.5200000000000005                                0.6329671176542404                                0.6245719189858618                                0.3783422645946169                                102.81909641069575
8.520000000000001                                 0.7041899689511477                                0.6942928299240497                                0.42983452898615443                               102.91833163573051
9.520000000000001                                 0.7626813245976195                                0.751981575570572                                 0.4775806825326196                                102.97969728505927
10.520000000000001                                0.8101350359736507                                0.7992403039792904                                0.5216325883865776                                103.01764980290329
