% Model:              tumor_ablationfinaltodo.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 29 2026, 01:45
% Dimension:          1
% Nodes:              15
% Expressions:        1
% Description:        Punto, gráfica
% Tiempo (min)            Temperatura
0                         37.01357406218045
2.5                       99.25661184628018
5                         102.28051861732422
7.5                       102.98079064649181
10                        103.16208754938538
0                         37.01343745229815
2.5                       99.78851398109765
5                         102.48551032319796
7.5                       103.1450506874948
10                        103.32238392224195
0                         37.01332988963907
2.5                       99.38768378853024
5                         102.41853714749703
7.5                       103.12056757724878
10                        103.30220118154881
